sent_rating,processed_text_stem_NoStopwords,data
positivo,comprei casa mãe senhora idad configuraçõ fiz pra divert pedindo música notícia perguntando acionando luze dispositivo comprado separadament comando voz equipamento casa inteligent sacada verdad configurar alexa dela possa ligar acionar polícia bombeiro comando voz fizemo test claro funcion perfeitament alexa mãe heheh recomendo,2020-12-07 00:00:00
positivo,qualidad som impecável microfon péssimo quas escuta precisa repetir vária chega frustrant ideia assistent pessoal comprei black friday 399e BF comprei echodot 3 ° 199 tô devolvendo 4 ° ruim dimai vale preço pago qualidad som resto praticament inferior 3 ° geração,2020-11-17 00:00:00
negativo,alexa surda!um inferno comprei echo dot relógio ficar gritando retardado echo arrependi compra recomendo,2020-11-30 00:00:00
positivo,tamanho mão apesar reclamando dela ouvir certa distância reconhecendo voz super distância qualidad som deixou impressionada vc ajust necessário maravilhosa arrependo jeito nenhum vale pena ajust reconhecimento voz aplicativo necessário super fácil baixa aplicativo celular aplicativo deixa super tranquilo entend,2020-11-19 00:00:00
positivo,vamo começar ruim microfon comprei echo dot 3ª 4ª geração coloquei ambient falava aparelho 4ª geração ouvia 3ª tirei 3ª geração cômodo fiz test posicionamento notei realment modelo bola surdo falar alto acionar alexa design particular gostei formato bola luz led inferior ficou legal reflet superfíci echo dot som começo achei faltava grave comparado 3ª geração 4º geração som claro pra distinguir melhor instrumento app alexa celular equalizador aumentei grave diminuí pouquinho agudo som ficou melhor possui realment son grave satisfatório volum surpreendentement alto acho cumpr proposta sugestão comprar 3ª geração plugar outro som saída P2 fone terá echo dot barata melhor microfon som realment satisfatório Ah parear outro som via bluetooth,2020-12-04 00:00:00
negativo,falha reconhecimento falar alto comprei versão preta incomoda esteticament fato adaptador energia cabo serem cor branca sério,2020-11-11 00:00:00
positivo,design lindo anel luz fort som 0 10 fica 8 comando voz 0 10 fica 9 reconhecimento voz 0 10 fica 9 praticidad 0 10 fica 10 acabamento 0 10 fica 10 design lindo combin ambient coloquei compacto discreto anel luz fort fica superfíci fosca anel destaca colocar mármore planíci brilhosa ficará linda anel luz reflet sensação flutuando som ajusta grave aplicativo passa 50 distorc esperar tamanho ajustar equalizador distorc comando voz deixou desejar ligada tocando música escuta elevar voz acho surda amazon concert atualizaçõ tiver tocando escuta normal reconhecimento voz buga namorado voz parecida confundiu voze acabamento rebarba construída textura gostosa lembra jean botõ desativar microfon baixar aumentar acionar funcionam perfeitament agradávei clicar comando música funcionam poderia melhorar entend pediu fiz 2 pedido amazon simpl preciso entrar app pra comprar peço compra fato font cabo alimentação acho tinha bateria assistent virtual fica carregando direito chato ficar tomada melhor tá vendo foto font fica exposta ficou discreta branca interruptor cabe enorm incrível reconhec criança sobrinha adora pede galinha pintadinha mônica marsha urso toca último dia vi pessoa estavam relatando erro reprodução rotina amazon diss bug corrigindo problema executar rotina tocava música parava achei incrível pretendo vale pena preço pagou entregu,2020-12-10 00:00:00
negativo,excelent qualidad som coisa pesam entrada 3.5 mm funciona saída áudio sendo impossível reproduzir font externa absolutament sentido caixa excelent qualidad som colocar prioridad conectar caixa).a única reproduzir font externa internet bluetooth esteja cient adaptador recent seja compatível modo portuguê dificuldad inglê há tendência aportuguesar palavra ocorr mudar idioma pra inglê nome disco musica estiv escrito diferent complemento deezer spotifi dificil dela procurar reconhecimento voz esper promoção compr vale 250 reai,2021-02-03 00:00:00
positivo,mídia carregada adquiri echo dot 4a geração dia 20/6/2021 54 dia utilizo satisfeito produto compra inteligência assistent virtual porem ressalva echo dot casa infinidad possibilidad automação residenci opinião assistent virtuai alexa braçada comparação googl siri fluída inteligent pq realidad humana voz robótica fluída inteligent aplicativo alexa opinião poderia melhorar deixando vista opçõ criar rotina aumentar reduzir volum sincronizar bluetooth prático utilizar echo dot 4a geração design bonito comprei preta ficou perfeita case darth vader comprei ML pode-s foto vídeo atualment utilizo 10 lâmpada wiz a60 smart control univers positivo conversor 4 K net claro soundbar LG sk9 TV LG ole 55 B8 roteador d-link dir-2680 módulo automação portão eletrônico agl izzi open wi-fi funcionado perfeitament equipamento fã tecnologia claro pretendo adicionar dispositivo inteligent lista ressalva acho convenient microfon dela captação voz falha falando voz alta surrando palavra alexa acorda pergunta desejo calibragem softwar hardwar acho melhor geração próxima vi ouvi diverso relato microfon echo dot 3a geração melhor 4a geração confesso endosso lista experiência atual prejudica profundament experiência uso echo dot 4a geração trata-s observação acho vale feita resumo recomento dessa casa recomendo melhor aproveitamento experiência conta microfon problema echo dot 4a geração 3a geração outro comodo sincronizam opinião quas equivalem,2021-08-13 00:00:00
negativo,diverso echo casa infeliz idéia substituição dispositivo 3 geração 4 geração decepção som melhor tamanho pior ouv direito falar alto aceit comando dificuldad compreend pensando downgrad 3 geração quiser fiqu 3 geração,2021-05-07 00:00:00
positivo,mídia carregada atend necessidad criar rotina comando voz ex criei playlist spotifi coloquei rotina alexa pessoa ativá-la abrir rotina pq compartilho pessoas).para reconhecimento voz necessário falar som,2021-07-01 00:00:00
negativo,produto bonito espera item atual qualidad som atend necessidad assistent comandado voz fato escutar comando torna inútil ouvir comando beneficio design qualidad sonora torn vc junto equipamento entend comando gen2 gen3 alexa gen3 outro cômodo casa respond gen4 pouco metro sequer ouv comando comprem dispositivo geracao péssimo,2021-01-22 00:00:00
positivo,comprei echo dot 4 geração shop hoje adorando melhor 3 geração som potent nítido alto-falant modificada percebi nenhum problema reconhecimento voz mim mudou continua problema,2020-11-17 00:00:00
positivo,mídia carregada ótimo produto ajuda diversa coisa dia dia principalment possui casa inteligent bonito som excelent qualidad pra ajustar app merec 5 estrela motivo pronúncia dela perfeita principalment palavra acento surda percebi há barulho TV ligada skill interessant falha dependemo vontad skill melhorar termo usabilidad pra alexa enfim echo dot vale pena apesar pequeno detalh,2021-03-23 00:00:00
negativo,entrega rápida decepcionada echo pra escutar q falar alto,2020-11-12 00:00:00
positivo,aúdio excelent principalment gosta música grave preench casa som control música ótima assinatura separada melhor aproveitamento ruim pega youtub music pega deezer consegui vincular spotifi tunel radio amazon music appl music peço tocar música spotifi toca rádio invé música pedi gosta assistir jornal televisão noticiário dela informar informa notícia tecnológica G1 dentr informa clima horário respond pergunta web wikipedia limitada alarm inúmera opçõ escolha voz escolh acordar música preferida adiar alarm dentr apagar luze trancar porta ligar ar condicionado ventilador voz óbvio hahaha requer compra adicionai invadir alexa quiser conversar família ouvir estranho casa foss interfon sabe?lembrando chamada aplicativo alexa instalado celular echo dot casa privacidad alexa ficar espiando começa processar frase frase ativação alexa echo amazon ouvir gravaço voz apagar reconhecimento voz melhor falar 2 alto ouvir atrapalh,2020-12-05 00:00:00
positivo,gostaria comentar entrega comprei sexta-feira blackfriday recebi domingo volta 16:00h configuração simpl pouco minuto sai falando reconhecimento voz filho 6 ano inicialment chamava alex pediu música queen falando I want to beck free tocou control volum voz funciona funçõ app legai som exatament queria eco cozinha consigo ouvir cômodo casa potent pra curtir pra muita coisa agendo lembret incluo produto lista compra acion tomar filho descobriu imita pum,2020-12-06 00:00:00
negativo,desgraça conecta direito produto amazon resolvi avó pra ouvir música afin escuta música gospel diss vó alexa crent sabia ler bíblia tocar hino evangélico Vó ficou satisfeita veio reclamar mandou alexa tocar hino harpa cristã alexa diss tocava pagass configurei conta spotifi echo dot defini spotifi aplicativo música padrão irmã alexa continua oferecendo assinatura amazon prime music jeito amazon prime vir porcaria amazon music unlimit lixo vou pagar contribuição irmã alexa echo dot fica surdo mudar nome dele deixar alexa pronto prima alexia casa vó treta,2021-12-09 00:00:00
positivo,entrega promet assistent virtual ótima resposta interaçõ reclamar reconhecimento voz deixa desejar momento escuta som tá alto fica quas impossível ouvir msm vc falar alexa 4/5 acho mudar atualização amazon pq acab lançada tá dando dor cabeça elogiar melhor son mercado pra pedir música spotifi vc quiser automatizar casa,2020-11-11 00:00:00
positivo,produto excelent vale centavo claro vocabulário limitado reconhecimento pede comparado assistent G notei pedir notícia delay noticia apresentada realment radio cbn manhã percebi cao notícia dia anterior notícia 2 hora atra música 90 música pedi tocado perfeitament 10 tocada ofereceu pacot pago claro necessário formular corretament pergunta responderá muita precisão colar prova onlin,2021-03-03 00:00:00
positivo,gostei produto chegou fiquei mexendo tentando aprend configuraçõ TV samsung deu certo alexa baixar aplicativo smartth pra parear achei faria conexão direto integrada alexa fábrica apanhando configuração skill achei complicado passo luze serviço inteligent gostei configuração música facilidad falar lógico pedir pra alexa deixar volum falar ouvir som alto achei qualidad som comum qualidad premium melhor gostei fácil comunicação resposta rápida recomendo,2021-04-27 00:00:00
positivo,positivo rotina gostei fato muita possibilidad funcionam corretament dispositivo conectado som skill maravilhosa resposta rápida negativo tradutor concorrent deixou desejar integração produto amazon funciona fire stick 2º geração melhora mecanismo pesquisa melhora reconhecimento voz acredito alexa seja superior googl home exist concorrent melhor,2020-12-04 00:00:00
positivo,bonito funcion alexa interativa intuitiva som ótima qualidad aparelho tamanho manual vago pouco detalh poderia descritivo explicativo ok,2020-11-08 00:00:00
negativo,produto som resposta voz frustrado problema amazon classific incompatibilidad echo dot 4 fica dando play insistentement vídeo áudio música aplicativo bug abrir vídeo instagram computador apertar play sair conversa áudio vídeo voltará dê comando fiquei decepcionado meio resolv problema deu jeito dispositivo veio desatualizado entrar contato foss atualizado esperança atualização bug foss eliminado infelizment continua,2021-03-26 00:00:00
negativo,reconhecimento voz pessoa exigent fraco falando clareza echo dot apresenta resposta esperado echo dot reconhec palavra principalment sejam idioma escolhido acaba fazendo pesquisa coisa desejada echo dot apresenta muita pouca funçõ consegu reproduzir vídeo áudio pesquisa música consegu alcançar resultado satisfatório ressaltando fato reconhec palavra informaçõ echo dot fornec baixa perguntamo assunto histórico simplesment resposta resposta satisfatória skill echo dot suprem acessibilidad produto consumidor tenha alta expectativa produto trist decepção acessibilidad produto fazendo consumidor perder interess deveria influenciar vida pessoa acaba virando enfeit estant,2021-01-20 00:00:00
positivo,caixa som alexa caso queira caixa som posta ambient pequeno reunião amigo cumpr papel possibilidad uso caixa inteligent interessant simpl dispensável comando voz ajudam fazendo integração conta amazon uso coisa simpl somando pedir despertador timer colocar produto lista compra música possibilidad,2021-01-12 00:00:00
negativo,novidad si pedir pra tocar musica pergunta quiser confesso acho inteligência artifici alexa questionável comprei irmão tinha ótima geração anterior achatadinha modelo redondinho surda muita gent pede coisa pra compreend entend enfim muita raiva tocar amazon music pra mim sentido youtub premium spotifi irritant coletar informaçõ damo hora irritant apesar gent ouvir musica cria conta própria playlist gosto music dia escolh pede tocar música toca gosta ouviu enfim acho inteligência artifici youtub music interessant alexa,2021-10-14 00:00:00
negativo,vi comentário dizendo capta direito voz teimoso comprei msm vale pena n pra mim acreditem tô falando rs bacana assistent voz justament precisão ouvir atend precisar gritar repetir vária tá escuta depend mt cômodo direção tiver obstáculo ex tela notebook voz esquec gritando pra ouvir literalment vc preza qualidad reconhecimento custo benefício áudio satisfatório p cômodo alexa 3 Tô devolvendo pegando alexa 3 msm,2020-12-01 00:00:00
negativo,1- som grave passa certo volum distorc som absurdamente.2 microfon mesma captação versão anterior diria capação 20 menor. 3-a font veio branca aparelho preto ficou visualemnt feia combinação acho pisaram bola versão errou feio amazon trocaram engenheiro pessoal qualidad design diria pra mandar fizeram esst contratar volta antigo mesmo creio deram contribuição tinham pra,2020-11-29 00:00:00
positivo,mídia carregada gosto echo claro test marca .mai testo produto deixar claro nenhum patrocínio seja compro bolso .eu autônoma echo S pontuação há média melhor categoria nome sugestivo alexa echo amazon .obrigado,2021-06-03 00:00:00
positivo,ótimo produto satisfeito alexa dificuldad ouvir,2020-11-07 00:00:00
negativo,positivo gostei desenho bonita design atual comparando echo 3 tb som volum qualidad característica grave esperado tamanho alto falante).a echo 4 som direcionado colocado frent ouvint negativo antiga echo 3 entend melhor comando rarament precisava repetir respondia imediato frequentement repetir falar pausadament há ruído ambient fica pior gostei cabo força echo 3 4 preta cabo força echo 4 veio branco fica destoant mesa fazendo cabo fiqu clarament destacado caixa sugestão 3 4 gostaria opção versão bateria pra possa levar caixinha comigo pra cozinha sala churrasqueira etc.a alexa pra ficar presa locai tomada,2020-12-29 00:00:00
negativo,pessimo produto horrível escuta surda versão anterior ganha 1000 0.pensa produto porcaria horrível.você grita fala alto fala devagar claro porcaria produto escuta amazon deixou client furada.eu recomendo jamais.eu 3 versão anterior demais.eu comprei 5 echo 4 geração devolvi 5 = 3 echo 4 1echo dot 4 relogio 1 echo dot 4 .porcaria total,2021-01-16 00:00:00
negativo,comprei echo dot 4a geração 12/04/2021 15/04/2021 recebí produto iniciei instalação início funcion comprei outro echo igual passar dia começ ficar problema executar comando simpl desligar luze pesquisar nuvem etc. data hoje echo inici despertador parou apesar comando encerrar atividad liguei desliguei energia 2X problema persistia solução joguei pared quebrou pedaço resolveu enfim parou despertador outro echo direto lixo perdi totalment confiabilidad marca produto procura assistent virtual fuja amazon echo valem,2021-06-09 00:00:00
positivo,simplesment amo alexa mudou rotina dela consegui automatizar foss ficaria fácil skill sono ajudaram dormir muita insônia son chuva possibilidad criar rotina ótima adoro dia alexa dia diferent ajuda lembrar evento reuniõ entrega trabalho lista compra esqueço kkkkk estiv dela celular lembra comprei outro echo dot mãe conversamo adorei função vária skill adoro jogo contar história piada entend música peço vantagem monstruosa acho ler kindl abr livro exatament parei leitura lê mim audiobook incrível simplesment ajuda adoro vou colocar casa inteira,2021-05-09 00:00:00
negativo,tinha googl assistent troquei alexa desapontado dificuldad reconhec dispositivo acendê-lo separadament chamado junto engenharia amazon verificar acontec vamo conseguem consertar lâmpada cozinha peço alexa acend luze cozinha pede confirmar qui cozinha descobri problema verdad identifica cozinha identifica palavra luze dispositivo pedir acend cozinha acend luze solução funciona luze cozinha tivess aparelho fossem ligado alexa iriam ligar pediss ativar cozinha,2020-12-07 00:00:00
negativo,comprem versão echo escuta comando alexa preciso gritar estando 1 metrô pra entend ouvir comando falo alexa 5 10 pra respond absurdo tinha versão anterior infinitament melhor reconhecimento voz vou devolv pedir reembolso,2020-12-21 00:00:00
positivo,trabalho empresa projeta suport echo dot acesso modelo 4 lançamento período pude testar comprarar dispositivo modelo 3 anterior design quas esfera cort base visualment dispositivo diferent anterior disco bolinha projeto alto falant esférico contato harman kardon onyx dispositivo tinha excelent grave acredito mudar aparência melhorar grave tenha sido princip objetivo mudança design echo dot será grave melhoraram som echo dot 4?a diferença acab sendo sutil pude perceb melhora batida ouvindo hip hop 50 cent dre som deixa desejar quesito caixinha vibra tímida grave dot 3 dot 4 dispositivo projeto vocal significa som ótimo sertanejo música pop rock som fica legal ouvir dark necess red hot achei faltou pegada fiel som mudança important dispositivo direcion significa som sai direçõ saia versão anterior aponta dot 4 direção som espalha 180 grau invé 360 mudança posicionava dot 3 centro cômodo acredito eram raro caso mudaram).no considerando port caixa som esperado comparável jbl port design gostei formato iluminação interativa led mudou face superior fica base dispositivo mudança troux certo charm caixinha reconhecimento voz perceb certa melhoria adição microfon captação voz houv melhorar substanci increment softwar continuament aperfeiçoado fica difícil distinguir melhoria softwar melhoria hardwar dica treinar aplicativo voz reconhecimento melhora significativament basta baixar app alexa passo passo inici configuração encontra opção problema continua sendo bateria dispositivo funciona tomada font grandinha cabo chama atenção deveria tirando brilho dispositivo vide foto echo dot 4 pensada uso superfíci plana mesa escrivaninha som fica bacana caixinha fica chão uso diário senti principalment oferta suport tomada embutir forro teto posicionam melhor dispositivo escondem font cabo ocorreu echo dot 3 problema resolvido,2020-11-16 00:00:00
negativo,captura voz ruim chegar ouvir pouco centímetro metro falando alto comprei pra comandar aparelho sofá pra ficar levantando pra falar gostei,2020-11-09 00:00:00
positivo,echo dot 4ª geração cumpr promet som limpo potent capacidad reconhecimento fala execução tarefa completa cumpr prometido configuração fácil rápida intuitiva autorizar conexão conta compra aplicativo alexa reconhec terminar configuração dispositivo uso dificuldad resto aproveitar imensa gama skill funcionalidad equipamento oferec alcanc escuta microfon alto comando entendido sejam dito outro cômodo casa basta falar clara,2020-11-08 00:00:00
negativo,mídia carregada péssimo experiência dispositivo echo usando durant 10 dia início reconhecimento palavra ativação eram rápida falando conseguia captar fiz nenhum alteração configuraçõ troquei ultimament escutado aconteça falar inúmera gritar fiz vídeo mesma ativ ativ auxílio aperto botõ produto péssimo agrad experiência início havia sido incrível hoje dia dado dor cabeça frustraçõ comprei 4 achando melhor 3 visto olha exatament 10 dia uso achei ficaria inteligent passar devido começar conhec rotina simplescomando tá complicado reconhecimento palavra ativação!!não recomendo,2020-12-12 00:00:00
negativo,completament frustrado paguei caro veio microfon inferior microfon inferior echo dot 3 ouv decepcionado preço alto microfon inferior áudio ótimo serv tocar musica falar 3 conseguir ativar,2020-11-11 00:00:00
negativo,dificuldad entend fala,2020-11-06 00:00:00
positivo,dia usando percebi som superior geração resposta rápida único probleminha senti melhor modelo microfon dificuldad ouvir quesito acho geração sai melhor preferir qualidad áudio pra música melhor opção faixa 400 reai,2020-11-07 00:00:00
negativo,reconhecimento voz melhor poderiam adicionar + 1 microfon invé manter 4 microfon igual echo dot 3 preciso chamá-la 3x pra respond,2020-11-09 00:00:00
positivo,sensacion,2020-11-05 00:00:00
positivo,mídia carregada gostei pouco dispositivo smart home experiência sido gostei criado perfi usuário membro família terem entrar conta amazon escolh perfil dele permit tenham própria skill vinculem spotifi conta mudam vínculo muda perfi,2021-01-08 00:00:00
positivo,echo dor 3ª geração 4ª geração compramo deixar filho microfon dela geração anterior chamar vária respond respond funcionalidad skill igual som percebi melhor usamo ouvir música usamo automação residenci assistent pessoal,2021-01-01 00:00:00
positivo,echo dot qualidad som limitada razoável ambient pequeno específico banheiro estéreo contorna limitaçõ técnica recomendaria compra pensando dispositivo áudio exclusivo melhor princip vantagem atual geração utilização dispositivo integrado automação residenci limitada brasil skill limitada alexa sendo melhor brasil microfon velocidad processamento bon atual geração equipara echo studio acima echo show 10 ótimo reconhecimento idioma misturando inglê portuguê vejo melhor aplicação porta P2 conectada alguma caixa som potent antiga marshal 6 ano ficou inteligent aliada potência studio lançada 5 ano serv comando simpl automação residenci compraria echo dot tivess dispositivo inteligent casa compatívei alexa foss pra integrar caixa antiga potent adicionar inteligência áudio integração spotifi reconhec mistura idioma peca tidal compatível nativo brasil aplicaçõ uso cotidiano ficam inútei poano uber ifood extremament limitado portai notícia atualizada noit ouvir café manhã ouvir repetida dia anterior horóscopo bobeira estimativa trânsito reconhec espero acrescentem tidal brasil melhorem aplicaçõ atuai recomendo relogio ficar informação funciona decoração ambient ajuda informaçõ volum timer clima,2021-04-01 00:00:00
negativo,comprei echo dot 4ª G sabendo tratava contrário vejo muita gent comentando item necessidad vantagen extrair coisa interessant alguma inventividad vida caixinha som bluetooth qualidad destaquei bluetooth reprodutora app música péssima roda playlist grava preferência entend comando tento usá-la serviço música amazon music raiva raiva negócio rodar conexão direta outro decepcion leitura kindl pensei poderia usá-la ouvir documento roda ebook tenham sido comprado amazon kindl suport pdf consumo artigo acadêmico achei teria ganho ouvindo-o executo atividad dei vou entend aparelho bateria depend conectado rede elétrica full time enfim crítica muita contundent comprei expectativa expectativa baixa senti ficou aquém desejado criança divertem fazendo milhõ pergunta boba,2021-08-20 00:00:00
positivo,uso eco dot assistent n uso caixa som q comprei perdi compromisso som dela MT alto sendo versão básica distorção control app TB tenha interfac uso prática usou acustuma optei ficxar bolinha silicon base gastar borracha aliá MT tb).o cabo relativament único negativo q entend falo raro acontec impeditivo adquirir,2021-04-09 00:00:00
positivo,quas sinto série year and year hbo precisamo avanço conexão banda larga ajust interaçõ orgânica alexa perfil digo usuária interior pará adaptando skill útei pra mim produto serviço potencialment necessário âmbito cotidiano abrangência uso propõ dominar presença casa humano conscient sigo entregando dado amazon troca luto,2021-03-15 00:00:00
positivo,mídia carregada adorei achei surda vi avaliaçõ achei escuta preciso gritar falar clarament qualidad som excelent uso pra lembrar coisa ouvir música durant trabalho gosto automaçõ vc programar investir lâmpada pro abajur aparelho pra TV pra conseguir interagir cabinho cor diferent incomoda pq fica escondido bacana base carga pra caso quisess transportá-la pra algum temporariament banheiro funcionalidad anunciar acredito mto legal casa achei voz dela tbm mecânica fluida função contar história mto tbm gostei mto modo queria esperei aparec promoção,2021-07-07 00:00:00
positivo,absolutament nenhum problema reconhecimento som microfon vária pessoa reportaram alexa atend normalment precisar gritar chamar alto qualidad sonora dela impecável ambient pequeno utilizo volum 2 3.no notebook antigo pareio bluetooth audio dela crack notebook utilizado telefon acontec sai perfeito sincronizo agenda googl avisa evento próximo ouvir spotifi amazon music outro serviço música experiência,2021-06-14 00:00:00
positivo,usuário alexa equipamento casa comprei instalei echo dot 4ª geração ficando satisfeito echo dot 3ª geração echo show 5 fiz comparação achei 4ª geração potência som melhor echo dot 3ª geração acontec echo show 5 som direcionado trá som direcionado frent diferentement echo dot 3ª geração distribui 360⁰.portanto caso venha utilizar equipamento canto pared echo dot 4ª geração terá perform melhor echo dot 3ª geração acho potência echo dot 4ª geração echo show 5 fazendo perform melhor entretanto objetivo centralizar equipamento distribuir som ambient echo dot 3ª geração satisfaz melhor usuário independent acima colocado satisfeito echo dot 4ª geração,2020-12-18 00:00:00
positivo,qualidad excepcion sendo modelo avançado caro ótimo custo-benefício adoro uso timer notícia previsão lembret alarm rastreamento encomenda correio tocar spotifi radio on-lin agendar utilizar iten casa inteligent lâmpada plug aparelho incluindo bomba aciona enchimento caixa água programei rotina desperdicei água luz programo acendimento desligamento lâmpada,2021-02-28 00:00:00
positivo,Eh linda som eh ótimo soubfa produto comprei echo dot 3 4 acho dot 3 vantagen eh facilment montável pared ficando móvel vc quiser rapidament diferent casa sincerament áudio 4 eh melhor arrependo comprado 4 relógio sendo acho produto sentido gastar compr geração 3 grana compra geração 4 relógio foto 4 relógio eh escolha estranha,2020-12-30 00:00:00
positivo,alexa echo dot divertida ótima qualidad som considerando-s tamanho reduzido ouv comando distância andar casa funçõ útei intercomunicador recado mensagen deixado membro família proporciona hora conversa lazer enfim supera expectativa preço senão infelizment suport youtub music comando voz funciona caixa som bluetooth obriga amazon music spotifi outro suportado assinant prime usando amazon music limitaçõ repertório).o control ar condicionado LG TV samsung funcionam ok perdem conexão algum probleminha wi-fi lâmpada dispositivo wi-fi pude testar comando estiv dúvida concorrent preço similar control casa ouvir música aconselho ficar echo dot principalment qualidad som surpreendeu positivament,2021-04-21 00:00:00
positivo,vale experiência aparelho ótima facilit vida aspecto pessoa gosta lista organização automatismo casa pude opção echo ajuda tarefa dia dia agilidad important qualidad som música facilidad pedir tocar comprei present pro pai achei altament necessária função airdrop acho fiz escolha,2021-03-08 00:00:00
positivo,echo dot gracinha apaixonada!!como possuo echo show dot conect automaticament wifi conectar tomada pronta uso show comando reconhecido vídeo youtub falar alexa certa distância ativa problema falha show spotifi parava funcionar acredito seja problema skill vale ressaltar usando há 2 semana ótima aquisição pro escritório improvisado pandemia,2020-11-17 00:00:00
negativo,faltam informaçõ compra consumidor precisa informado potência som caixa bateria funcionando tomada deveria existir pleno 2021 viajar contar carro dele encontr tomada ligar som razoável sabemo potência divulgada reconhecimento voz preciso falar dela entend clarament falado estranho produto 400 reai entrar promoção 250 reai entend empresa lucro 250 reai cobra normalment 400 esperam promoçõ vale 400 250 sugiro esper boa promoçõ saiba bateria,2021-07-01 00:00:00
negativo,atualizando produto :O microfon horrível diferent repetir comando gritando reclamação recorrent vi internet dispositivo funciona echo comando funcionam funcionam gerando estress suport amazon tratou ofereceu resposta automática ignorando totalment tentativa resolv problema decepcionado arrependido recomendo produto,2021-03-12 00:00:00
positivo,echo dot tinha 3 comprei 4 deixar outro sala conceito total maravilhoso vejo possibilidad lista compra lembrada compromisso acend luze dele achei q echo 3 compreensão palavra distância superior senti q tinha achado q teria upgrad colocando 4 nele devolvi 3 p q uso acend luze sonolenta madrugada entend obedec prontament,2021-04-16 00:00:00
